"","codigo","ano","MULHERES_COM_MAIS_3_PARTOS"
"533","210620","2021","10"
"534","210630","2021","14"
"535","210632","2021","38"
"536","210635","2021","14"
"537","210637","2021","16"
"538","210640","2021","21"
"539","210650","2021","24"
"540","210660","2021","58"
"541","210663","2021","8"
"542","210667","2021","5"
"543","210670","2021","11"
"544","210675","2021","12"
"545","210680","2021","11"
"546","210690","2021","68"
"547","210700","2021","1"
"548","210710","2021","10"
"549","210720","2021","31"
"550","210725","2021","2"
"551","210730","2021","2"
"552","210735","2021","11"
"553","210740","2021","14"
"554","210745","2021","8"
"555","210750","2021","87"
"556","210760","2021","20"
"557","210770","2021","6"
"558","210780","2021","31"
"559","210790","2021","18"
"560","210800","2021","24"
"561","210805","2021","47"
"562","210810","2021","21"
"563","210820","2021","18"
"564","210825","2021","65"
"565","210830","2021","83"
"566","210840","2021","9"
"567","210845","2021","19"
"568","210850","2021","35"
"569","210860","2021","80"
"570","210870","2021","11"
"571","210880","2021","23"
"572","210890","2021","7"
"573","210900","2021","10"
"574","210905","2021","6"
"575","210910","2021","27"
"576","210920","2021","18"
"577","210923","2021","10"
"578","210927","2021","39"
"579","210930","2021","29"
"580","210940","2021","18"
"581","210945","2021","49"
"582","210950","2021","20"
"583","210955","2021","2"
"584","210960","2021","34"
"585","210970","2021","7"
"586","210975","2021","1"
"587","210980","2021","39"
"588","210990","2021","56"
"589","211000","2021","78"
"590","211003","2021","23"
"591","211010","2021","43"
"592","211020","2021","35"
"593","211023","2021","12"
"594","211027","2021","19"
"595","211030","2021","13"
"596","211040","2021","56"
"597","211050","2021","18"
"598","211060","2021","31"
"599","211065","2021","8"
"600","211070","2021","34"
"601","211080","2021","7"
"602","211085","2021","4"
"603","211090","2021","15"
"604","211100","2021","11"
"605","211102","2021","32"
"606","211105","2021","14"
"607","211107","2021","22"
"608","211110","2021","18"
"609","211120","2021","162"
"610","211125","2021","9"
"611","211130","2021","486"
"612","211140","2021","11"
"613","211150","2021","38"
"614","211153","2021","6"
"615","211157","2021","4"
"616","211160","2021","17"
"617","211163","2021","3"
"618","211167","2021","3"
"619","211170","2021","12"
"620","211172","2021","10"
"621","211174","2021","18"
"622","211178","2021","24"
"623","211180","2021","12"
"624","211190","2021","6"
"625","211200","2021","15"
"626","211210","2021","38"
"627","211220","2021","199"
"628","211223","2021","4"
"629","211227","2021","5"
"630","211230","2021","24"
"631","211240","2021","75"
"632","211245","2021","47"
"633","211250","2021","92"
"634","211260","2021","63"
"635","211270","2021","97"
"636","211280","2021","66"
"637","211285","2021","4"
"638","211290","2021","14"
"639","211300","2021","11"
"640","211400","2021","39"
"641","220005","2021","2"
"642","220010","2021","1"
"643","220020","2021","12"
"644","220027","2021","1"
"645","220030","2021","4"
"646","220040","2021","35"
"647","220045","2021","4"
"648","220050","2021","30"
"649","220060","2021","6"
"650","220070","2021","3"
"651","220080","2021","2"
"652","220105","2021","9"
"653","220110","2021","8"
"654","220115","2021","10"
"655","220120","2021","46"
"656","220130","2021","6"
"657","220140","2021","4"
"658","220150","2021","16"
"659","220155","2021","2"
"660","220157","2021","2"
"661","220160","2021","1"
"662","220170","2021","4"
"663","220173","2021","6"
"664","220177","2021","7"
"665","220190","2021","12"
"666","220191","2021","6"
"667","220192","2021","2"
"668","220194","2021","3"
"669","220196","2021","2"
"670","220198","2021","1"
"671","220200","2021","20"
"672","220202","2021","6"
"673","220205","2021","1"
"674","220207","2021","5"
"675","220208","2021","9"
"676","220209","2021","1"
"677","220210","2021","1"
"678","220211","2021","1"
"679","220213","2021","1"
"680","220217","2021","10"
"681","220220","2021","19"
"682","220225","2021","3"
"683","220230","2021","14"
"684","220240","2021","6"
"685","220245","2021","1"
"686","220250","2021","5"
"687","220253","2021","3"
"688","220255","2021","2"
"689","220260","2021","18"
"690","220265","2021","8"
"691","220270","2021","24"
"692","220271","2021","1"
"693","220272","2021","2"
"694","220273","2021","4"
"695","220275","2021","2"
"696","220277","2021","2"
"697","220280","2021","4"
"698","220290","2021","24"
"699","220300","2021","9"
"700","220310","2021","12"
"701","220320","2021","5"
"702","220323","2021","4"
"703","220325","2021","3"
"704","220327","2021","3"
"705","220330","2021","11"
"706","220340","2021","3"
"707","220342","2021","2"
"708","220345","2021","4"
"709","220350","2021","6"
"710","220360","2021","3"
"711","220370","2021","30"
"712","220375","2021","3"
"713","220380","2021","1"
"714","220385","2021","1"
"715","220390","2021","33"
"716","220400","2021","2"
"717","220410","2021","3"
"718","220420","2021","1"
"719","220430","2021","1"
"720","220435","2021","1"
"721","220440","2021","15"
"722","220450","2021","3"
"723","220460","2021","2"
"724","220465","2021","11"
"725","220470","2021","3"
"726","220480","2021","4"
"727","220490","2021","5"
"728","220500","2021","4"
"729","220510","2021","4"
"730","220520","2021","9"
"731","220525","2021","2"
"732","220535","2021","3"
"733","220540","2021","15"
"734","220545","2021","2"
"735","220550","2021","23"
"736","220551","2021","3"
"737","220552","2021","5"
"738","220553","2021","2"
"739","220554","2021","2"
"740","220555","2021","10"
"741","220556","2021","1"
"742","220557","2021","3"
"743","220558","2021","2"
"744","220560","2021","2"
"745","220570","2021","34"
"746","220580","2021","12"
"747","220585","2021","3"
"748","220590","2021","1"
"749","220595","2021","6"
"750","220600","2021","6"
"751","220610","2021","4"
"752","220620","2021","45"
"753","220630","2021","1"
"754","220635","2021","5"
"755","220640","2021","8"
"756","220650","2021","5"
"757","220660","2021","6"
"758","220665","2021","6"
"759","220667","2021","1"
"760","220669","2021","7"
"761","220670","2021","3"
"762","220672","2021","10"
"763","220675","2021","2"
"764","220680","2021","12"
"765","220690","2021","1"
"766","220695","2021","1"
"767","220700","2021","14"
"768","220710","2021","6"
"769","220720","2021","1"
"770","220730","2021","3"
"771","220740","2021","2"
"772","220750","2021","23"
"773","220755","2021","1"
"774","220760","2021","9"
"775","220770","2021","115"
"776","220775","2021","2"
"777","220777","2021","1"
"778","220780","2021","14"
"779","220785","2021","1"
"780","220790","2021","19"
"781","220793","2021","2"
"782","220795","2021","3"
"783","220800","2021","20"
"784","220810","2021","4"
"785","220820","2021","9"
"786","220830","2021","20"
"787","220840","2021","31"
"788","220850","2021","19"
"789","220855","2021","1"
"790","220860","2021","3"
"791","220865","2021","5"
"792","220870","2021","14"
"793","220880","2021","29"
"794","220885","2021","5"
"795","220887","2021","1"
"796","220890","2021","2"
"797","220900","2021","3"
"798","220920","2021","2"
"799","220937","2021","3"
"800","220940","2021","2"
"801","220955","2021","1"
"802","220960","2021","1"
"803","220965","2021","2"
"804","220970","2021","2"
"805","220975","2021","7"
"806","220980","2021","5"
"807","220985","2021","1"
"808","220987","2021","6"
"809","220990","2021","3"
"810","220995","2021","2"
"811","220997","2021","9"
"812","221000","2021","10"
"813","221005","2021","2"
"814","221020","2021","2"
"815","221035","2021","1"
"816","221039","2021","2"
"817","221040","2021","4"
"818","221050","2021","10"
"819","221060","2021","12"
"820","221062","2021","7"
"821","221063","2021","1"
"822","221065","2021","4"
"823","221070","2021","11"
"824","221080","2021","6"
"825","221090","2021","3"
"826","221093","2021","1"
"827","221097","2021","3"
"828","221100","2021","392"
"829","221110","2021","68"
"830","221120","2021","24"
"831","221130","2021","1"
"832","221135","2021","5"
"833","221140","2021","1"
"834","221170","2021","1"
"835","230010","2021","5"
"836","230015","2021","9"
"837","230020","2021","43"
"838","230030","2021","17"
"839","230040","2021","8"
"840","230050","2021","7"
"841","230060","2021","5"
"842","230070","2021","5"
"843","230075","2021","61"
"844","230090","2021","6"
"845","230100","2021","18"
"846","230110","2021","31"
"847","230120","2021","16"
"848","230125","2021","7"
"849","230130","2021","10"
"850","230140","2021","6"
"851","230150","2021","2"
"852","230160","2021","6"
"853","230170","2021","3"
"854","230180","2021","1"
"855","230185","2021","9"
"856","230190","2021","41"
"857","230195","2021","10"
"858","230200","2021","4"
"859","230205","2021","13"
"860","230210","2021","24"
"861","230220","2021","23"
"862","230230","2021","15"
"863","230240","2021","28"
"864","230250","2021","17"
"865","230260","2021","54"
"866","230270","2021","12"
"867","230280","2021","51"
"868","230290","2021","6"
"869","230300","2021","16"
"870","230310","2021","14"
"871","230320","2021","6"
"872","230330","2021","3"
"873","230340","2021","16"
"874","230350","2021","34"
"875","230360","2021","2"
"876","230365","2021","6"
"877","230370","2021","177"
"878","230380","2021","5"
"879","230390","2021","11"
"880","230393","2021","6"
"881","230395","2021","9"
"882","230400","2021","11"
"883","230410","2021","5"
"884","230420","2021","49"
"885","230423","2021","16"
"886","230425","2021","18"
"887","230426","2021","3"
"888","230428","2021","18"
"889","230430","2021","2"
"890","230435","2021","10"
"891","230440","2021","786"
"892","230445","2021","6"
"893","230450","2021","8"
"894","230460","2021","7"
"895","230465","2021","5"
"896","230470","2021","58"
"897","230480","2021","2"
"898","230495","2021","13"
"899","230500","2021","45"
"900","230510","2021","7"
"901","230520","2021","8"
"902","230523","2021","32"
"903","230526","2021","4"
"904","230530","2021","23"
"905","230533","2021","3"
"906","230535","2021","8"
"907","230540","2021","21"
"908","230550","2021","27"
"909","230560","2021","11"
"910","230570","2021","10"
"911","230580","2021","31"
"912","230590","2021","14"
"913","230600","2021","2"
"914","230610","2021","10"
"915","230620","2021","3"
"916","230625","2021","16"
"917","230630","2021","28"
"918","230640","2021","103"
"919","230650","2021","17"
"920","230655","2021","34"
"921","230660","2021","11"
"922","230670","2021","8"
"923","230680","2021","4"
"924","230690","2021","12"
"925","230700","2021","7"
"926","230710","2021","19"
"927","230720","2021","3"
"928","230725","2021","9"
"929","230730","2021","91"
"930","230740","2021","16"
"931","230750","2021","7"
"932","230760","2021","14"
"933","230763","2021","7"
"934","230765","2021","112"
"935","230770","2021","26"
"936","230780","2021","36"
"937","230790","2021","17"
"938","230800","2021","12"
"939","230810","2021","26"
"940","230820","2021","7"
"941","230830","2021","8"
"942","230835","2021","4"
"943","230837","2021","12"
"944","230840","2021","14"
"945","230850","2021","17"
"946","230860","2021","7"
"947","230870","2021","21"
"948","230880","2021","7"
"949","230890","2021","15"
"950","230900","2021","5"
"951","230910","2021","10"
"952","230920","2021","8"
"953","230930","2021","15"
"954","230940","2021","7"
"955","230945","2021","10"
"956","230950","2021","4"
"957","230960","2021","28"
"958","230970","2021","34"
"959","230980","2021","7"
"960","230990","2021","2"
"961","231000","2021","7"
"962","231010","2021","6"
"963","231020","2021","29"
"964","231025","2021","17"
"965","231030","2021","15"
"966","231040","2021","7"
"967","231050","2021","12"
"968","231060","2021","3"
"969","231070","2021","22"
"970","231080","2021","5"
"971","231085","2021","7"
"972","231090","2021","1"
"973","231095","2021","10"
"974","231100","2021","2"
"975","231110","2021","4"
"976","231120","2021","5"
"977","231123","2021","2"
"978","231126","2021","2"
"979","231130","2021","21"
