"","codigo","ano","MULHERES_MENOS_DE_4_ANOS_DE_ESTUDO"
"989","240340","2021","1"
"990","240350","2021","7"
"991","240360","2021","16"
"992","240370","2021","1"
"993","240390","2021","1"
"994","240420","2021","10"
"995","240450","2021","8"
"996","240460","2021","2"
"997","240470","2021","5"
"998","240485","2021","1"
"999","240490","2021","1"
"1000","240500","2021","3"
"1001","240510","2021","2"
"1002","240530","2021","9"
"1003","240540","2021","4"
"1004","240560","2021","5"
"1005","240570","2021","1"
"1006","240580","2021","19"
"1007","240600","2021","4"
"1008","240610","2021","2"
"1009","240615","2021","3"
"1010","240620","2021","4"
"1011","240630","2021","9"
"1012","240640","2021","1"
"1013","240650","2021","7"
"1014","240660","2021","6"
"1015","240670","2021","1"
"1016","240680","2021","1"
"1017","240700","2021","1"
"1018","240710","2021","25"
"1019","240720","2021","3"
"1020","240725","2021","1"
"1021","240730","2021","1"
"1022","240750","2021","3"
"1023","240770","2021","2"
"1024","240780","2021","3"
"1025","240800","2021","23"
"1026","240810","2021","121"
"1027","240820","2021","7"
"1028","240830","2021","22"
"1029","240840","2021","2"
"1030","240880","2021","7"
"1031","240890","2021","1"
"1032","240895","2021","6"
"1033","240910","2021","7"
"1034","240920","2021","1"
"1035","240930","2021","2"
"1036","240933","2021","1"
"1037","240940","2021","4"
"1038","240950","2021","1"
"1039","240960","2021","2"
"1040","240980","2021","8"
"1041","240990","2021","1"
"1042","241010","2021","5"
"1043","241020","2021","2"
"1044","241025","2021","1"
"1045","241030","2021","7"
"1046","241040","2021","7"
"1047","241050","2021","1"
"1048","241070","2021","1"
"1049","241080","2021","1"
"1050","241090","2021","4"
"1051","241100","2021","2"
"1052","241110","2021","1"
"1053","241120","2021","11"
"1054","241140","2021","3"
"1055","241142","2021","2"
"1056","241150","2021","8"
"1057","241160","2021","3"
"1058","241170","2021","1"
"1059","241180","2021","2"
"1060","241190","2021","1"
"1061","241200","2021","30"
"1062","241220","2021","16"
"1063","241230","2021","6"
"1064","241240","2021","1"
"1065","241250","2021","12"
"1066","241255","2021","1"
"1067","241260","2021","9"
"1068","241270","2021","5"
"1069","241290","2021","4"
"1070","241310","2021","3"
"1071","241320","2021","1"
"1072","241330","2021","2"
"1073","241335","2021","5"
"1074","241340","2021","6"
"1075","241350","2021","4"
"1076","241360","2021","1"
"1077","241370","2021","1"
"1078","241380","2021","1"
"1079","241390","2021","6"
"1080","241400","2021","7"
"1081","241410","2021","1"
"1082","241415","2021","2"
"1083","241420","2021","8"
"1084","241440","2021","15"
"1085","241445","2021","1"
"1086","241470","2021","1"
"1087","241475","2021","3"
"1088","241480","2021","6"
"1089","241500","2021","1"
"1090","250010","2021","5"
"1091","250030","2021","31"
"1092","250040","2021","8"
"1093","250050","2021","7"
"1094","250057","2021","1"
"1095","250060","2021","17"
"1096","250070","2021","9"
"1097","250073","2021","2"
"1098","250080","2021","10"
"1099","250090","2021","3"
"1100","250100","2021","7"
"1101","250110","2021","10"
"1102","250115","2021","2"
"1103","250120","2021","4"
"1104","250130","2021","8"
"1105","250135","2021","3"
"1106","250140","2021","1"
"1107","250150","2021","12"
"1108","250157","2021","3"
"1109","250160","2021","5"
"1110","250170","2021","3"
"1111","250180","2021","227"
"1112","250190","2021","7"
"1113","250205","2021","1"
"1114","250210","2021","4"
"1115","250215","2021","2"
"1116","250220","2021","1"
"1117","250230","2021","2"
"1118","250240","2021","11"
"1119","250250","2021","6"
"1120","250260","2021","1"
"1121","250280","2021","5"
"1122","250290","2021","1"
"1123","250300","2021","13"
"1124","250320","2021","31"
"1125","250330","2021","4"
"1126","250350","2021","5"
"1127","250355","2021","2"
"1128","250370","2021","22"
"1129","250380","2021","1"
"1130","250390","2021","6"
"1131","250400","2021","47"
"1132","250403","2021","10"
"1133","250407","2021","3"
"1134","250415","2021","4"
"1135","250420","2021","2"
"1136","250430","2021","8"
"1137","250435","2021","1"
"1138","250440","2021","5"
"1139","250450","2021","1"
"1140","250460","2021","18"
"1141","250470","2021","5"
